sender,receiver,value
Australia,Saudi Arabia,8
Australia,Japan,167
Australia,Hong Kong SAR. China,48
Australia,Guatemala,2
Australia,Russian Federation,10
Australia,Jordan,29
Australia,Pakistan,76
Australia,Oman,3
Australia,Vietnam,881
Australia,India,1388
Australia,Tajikistan,1
Australia,Bangladesh,85
Australia,France,288
Australia,Nigeria,88
Australia,Egypt. Arab Rep.,256
Australia,China,2107
Australia,Ukraine,18
Australia,Sweden,23
Australia,United States,152
Australia,Romania,24
Australia,Malaysia,98
Australia,Austria,107
Australia,Brazil,39
Australia,El Salvador,34
Australia,Belgium,140
Australia,Philippines,862
Australia,Morocco,4
Australia,Thailand,214
Australia,Switzerland,111
Australia,Portugal,34
Australia,Mexico,5
Australia,Lebanon,1085
Australia,Spain,117
Australia,Colombia,16
Australia,Italy,490
Australia,Nepal,49
Australia,Netherlands,169
Australia,Israel,13
Australia,Indonesia,225
Australia,Korea. Rep.,382
Australia,Germany,506
Australia,Poland,141
Australia,Sri Lanka,279
Australia,United Kingdom,2152
Austria,Japan,9
Austria,Russian Federation,4
Austria,Jordan,3
Austria,Pakistan,10
Austria,Vietnam,14
Austria,India,73
Austria,Bangladesh,8
Austria,France,87
Austria,Nigeria,104
Austria,Egypt. Arab Rep.,76
Austria,China,65
Austria,Ukraine,5
Austria,Sweden,9
Austria,United States,18
Austria,Romania,78
Austria,Brazil,13
Austria,Australia,8
Austria,Belgium,44
Austria,Philippines,68
Austria,Morocco,3
Austria,Thailand,19
Austria,Switzerland,117
Austria,Portugal,2
Austria,Mexico,2
Austria,Lebanon,17
Austria,Spain,20
Austria,Italy,65
Austria,Netherlands,12
Austria,Israel,3
Austria,Indonesia,4
Austria,Korea. Rep.,10
Austria,Germany,782
Austria,Poland,171
Austria,United Kingdom,16
Bangladesh,Pakistan,40
Bangladesh,India,4082
Belgium,Japan,18
Belgium,Hong Kong SAR. China,1
Belgium,Guatemala,4
Belgium,Russian Federation,16
Belgium,Jordan,4
Belgium,Pakistan,29
Belgium,Vietnam,37
Belgium,India,98
Belgium,Bangladesh,5
Belgium,France,1958
Belgium,Nigeria,53
Belgium,Egypt. Arab Rep.,16
Belgium,China,111
Belgium,Dominican Republic,5
Belgium,Ukraine,2
Belgium,Sweden,12
Belgium,United States,29
Belgium,Romania,29
Belgium,Malaysia,1
Belgium,Austria,20
Belgium,Brazil,20
Belgium,Australia,6
Belgium,El Salvador,1
Belgium,Philippines,47
Belgium,Morocco,410
Belgium,Thailand,26
Belgium,Switzerland,44
Belgium,Portugal,47
Belgium,Mexico,3
Belgium,Lebanon,50
