sender,receiver,value
Albania,Czech Republic,6
Albania,Greece,40
Argentina,Bolivia,301
Argentina,Japan,16
Argentina,Bosnia and Herzegovina,1
Argentina,Russian Federation,1
Argentina,France,69
Argentina,Syrian Arab Republic,5
Argentina,Peru,195
Argentina,China,25
Argentina,Ukraine,1
Argentina,Brazil,108
Argentina,Croatia,1
Argentina,Lebanon,16
Argentina,Spain,922
Argentina,Italy,416
Argentina,Korea. Rep.,40
Argentina,Germany,38
Argentina,Poland,27
Armenia,Russian Federation,15
Armenia,Azerbaijan,190
Armenia,Turkey,1
Armenia,Syrian Arab Republic,11
Armenia,Ukraine,4
Armenia,Iran. Islamic Rep.,16
Armenia,Georgia,64
Armenia,Lebanon,21
Armenia,Germany,5
Armenia,Greece,2
Australia,Lithuania,12
Australia,Argentina,9
Australia,Bolivia,1
Australia,Saudi Arabia,8
Australia,Japan,167
Australia,Hong Kong SAR. China,48
Australia,Guatemala,2
Australia,Bosnia and Herzegovina,52
Australia,Russian Federation,10
Australia,Jordan,29
Australia,Pakistan,76
Australia,Oman,3
Australia,Vietnam,881
Australia,Cambodia,23
Australia,New Zealand,689
Australia,Jamaica,2
Australia,Albania,2
Australia,Slovak Republic,18
Australia,India,1388
Australia,Kenya,43
Australia,Tajikistan,1
Australia,Turkey,9
Australia,Bangladesh,85
Australia,France,288
Australia,Syrian Arab Republic,23
Australia,Peru,22
Australia,Nigeria,88
Australia,Norway,20
Australia,Macao SAR. China,3
Australia,Egypt. Arab Rep.,256
Australia,China,2107
Australia,Armenia,2
Australia,Ukraine,18
Australia,Sweden,23
Australia,Bulgaria,4
Australia,United States,152
Australia,Romania,24
Australia,South Africa,178
Australia,Venezuela. RB,1
Australia,Malaysia,98
Australia,Austria,107
Australia,Iran. Islamic Rep.,30
Australia,Kyrgyz Republic,1
Australia,Hungary,117
Australia,Brazil,39
Australia,Luxembourg,6
Australia,Ireland,64
Australia,Ecuador,4
Australia,Czech Republic,81
Australia,Algeria,2
Australia,El Salvador,34
Australia,Belgium,140
Australia,Georgia,1
Australia,Denmark,54
Australia,Philippines,862
Australia,Moldova,2
Australia,Morocco,4
Australia,Croatia,136
Australia,Thailand,214
Australia,Switzerland,111
Australia,Portugal,34
Australia,Mexico,5
Australia,Lebanon,1085
Australia,Spain,117
Australia,Colombia,16
Australia,Yemen. Rep.,1
Australia,Italy,490
Australia,Sudan,42
Australia,Nepal,49
Australia,Netherlands,169
Australia,Israel,13
Australia,Indonesia,225
Australia,Senegal,1
Australia,Korea. Rep.,382
Australia,Germany,506
Australia,Poland,141
Australia,Sri Lanka,279
Australia,Honduras,1
Australia,Tunisia,2
Australia,Nicaragua,1
Australia,United Kingdom,2152
Australia,Greece,72
Austria,Lithuania,2
Austria,Argentina,1
Austria,Japan,9
Austria,Bosnia and Herzegovina,218
Austria,Russian Federation,4
Austria,Jordan,3
Austria,Pakistan,10
Austria,Vietnam,14
Austria,Cambodia,1
Austria,Albania,2
Austria,Slovak Republic,78
Austria,India,73
Austria,Turkey,36
Austria,Bangladesh,8
Austria,France,87
Austria,Syrian Arab Republic,6
Austria,Peru,3
Austria,Nigeria,104
Austria,Norway,4
Austria,Egypt. Arab Rep.,76
Austria,China,65
Austria,Armenia,1
Austria,Ukraine,5
Austria,Sweden,9
Austria,Bulgaria,11
Austria,United States,18
Austria,Romania,78
Austria,South Africa,3
Austria,Iran. Islamic Rep.,16
Austria,Hungary,185
Austria,Brazil,13
Austria,Luxembourg,19
Austria,Ireland,1
Austria,Czech Republic,275
Austria,Australia,8
Austria,Algeria,1
Austria,Belgium,44
Austria,Georgia,1
Austria,Denmark,7
Austria,Philippines,68
Austria,Moldova,1
Austria,Morocco,3
Austria,Croatia,97
Austria,Thailand,19
Austria,Switzerland,117
Austria,Portugal,2
Austria,Mexico,2
Austria,Lebanon,17
Austria,Spain,20
Austria,Italy,65
Austria,Sudan,1
Austria,Netherlands,12
Austria,Israel,3
Austria,Indonesia,4
Austria,Korea. Rep.,10
Austria,Germany,782
Austria,Poland,171
Austria,Tunisia,10
Austria,Serbia,1846
Austria,United Kingdom,16
Austria,Greece,2
Azerbaijan,Russian Federation,23
Azerbaijan,Armenia,62
Azerbaijan,Ukraine,9
Azerbaijan,Georgia,5
Bahrain,Saudi Arabia,9
Bahrain,Jordan,2
Bahrain,Pakistan,161
Bahrain,Oman,2
Bahrain,India,760
Bahrain,Syrian Arab Republic,3
Bahrain,Egypt. Arab Rep.,188
Bahrain,Iran. Islamic Rep.,33
Bahrain,Algeria,3
Bahrain,Philippines,138
Bahrain,Morocco,5
Bahrain,Lebanon,3
Bahrain,Yemen. Rep.,2
Bahrain,Sudan,4
Bahrain,Tunisia,2
Bangladesh,Pakistan,40
Bangladesh,India,4082
Belgium,Lithuania,7
Belgium,Argentina,1
Belgium,Bolivia,2
Belgium,Cameroon,2
Belgium,Japan,18
Belgium,Hong Kong SAR. China,1
Belgium,Guatemala,4
Belgium,Russian Federation,16
Belgium,Jordan,4
Belgium,Pakistan,29
Belgium,Vietnam,37
Belgium,Cambodia,1
Belgium,New Zealand,1
Belgium,Jamaica,1
Belgium,Albania,1
Belgium,Slovak Republic,4
Belgium,India,98
Belgium,Kenya,3
Belgium,Turkey,21
Belgium,Bangladesh,5
Belgium,France,1958
Belgium,Syrian Arab Republic,8
Belgium,Peru,6
Belgium,Nigeria,53
Belgium,Norway,7
Belgium,Egypt. Arab Rep.,16
Belgium,China,111
Belgium,Armenia,2
Belgium,Dominican Republic,5
Belgium,Ukraine,2
Belgium,Sweden,12
Belgium,Bulgaria,4
Belgium,United States,29
Belgium,Romania,29
Belgium,South Africa,5
Belgium,Malaysia,1
Belgium,Austria,20
Belgium,Iran. Islamic Rep.,5
Belgium,Hungary,35
Belgium,Brazil,20
Belgium,Luxembourg,355
Belgium,Ireland,4
Belgium,Ecuador,4
Belgium,Czech Republic,17
Belgium,Australia,6
Belgium,Algeria,34
Belgium,El Salvador,1
Belgium,Haiti,3
Belgium,Denmark,19
Belgium,Philippines,47
Belgium,Moldova,1
Belgium,Morocco,410
Belgium,Thailand,26
Belgium,Switzerland,44
Belgium,Portugal,47
Belgium,Mexico,3
Belgium,Lebanon,50
Belgium,Spain,280
Belgium,Colombia,8
Belgium,Italy,269
Belgium,Sudan,1
Belgium,Nepal,2
Belgium,Netherlands,227
Belgium,Israel,5
Belgium,Indonesia,13
Belgium,Senegal,6
Belgium,Korea. Rep.,29
Belgium,Germany,342
Belgium,Poland,95
Belgium,Sri Lanka,3
Belgium,Honduras,1
Belgium,Tunisia,39
Belgium,United Kingdom,46
Belgium,Greece,8
Bermuda,United States,7
Bermuda,Portugal,3
Bermuda,United Kingdom,10
Bolivia,Argentina,26
Bolivia,Japan,8
Bolivia,Guatemala,1
Bolivia,India,1
Bolivia,France,8
Bolivia,Peru,32
Bolivia,China,5
Bolivia,United States,10
Bolivia,Austria,1
Bolivia,Brazil,75
Bolivia,Ecuador,2
Bolivia,Belgium,11
Bolivia,Denmark,1
Bolivia,Switzerland,5
Bolivia,Mexico,27
Bolivia,Lebanon,1
Bolivia,Spain,18
Bolivia,Colombia,4
Bolivia,Italy,2
Bolivia,Korea. Rep.,5
Bolivia,Germany,8
Bolivia,Poland,1
Bolivia,Honduras,1
Bolivia,United Kingdom,1
Bosnia and Herzegovina,Croatia,16
Brazil,Argentina,16
Brazil,Bolivia,26
Brazil,Japan,248
Brazil,Guatemala,1
Brazil,Bosnia and Herzegovina,1
Brazil,Russian Federation,2
Brazil,Slovak Republic,1
Brazil,India,4
Brazil,Tajikistan,1
Brazil,France,93
Brazil,Syrian Arab Republic,6
Brazil,Peru,24
Brazil,Norway,1
Brazil,Egypt. Arab Rep.,17
Brazil,China,61
Brazil,Ukraine,1
Brazil,Sweden,2
Brazil,United States,26
Brazil,Romania,4
Brazil,Austria,16
Brazil,Hungary,13
Brazil,Ecuador,2
Brazil,Czech Republic,4
Brazil,Australia,2
Brazil,El Salvador,1
Brazil,Belgium,31
Brazil,Denmark,2
Brazil,Croatia,1
Brazil,Switzerland,23
Brazil,Portugal,359
Brazil,Mexico,2
Brazil,Lebanon,163
Brazil,Spain,318
Brazil,Colombia,7
Brazil,Italy,112
Brazil,Netherlands,6
Brazil,Israel,2
Brazil,Korea. Rep.,31
Brazil,Germany,76
Brazil,Poland,15
Brazil,Honduras,1
Brazil,Nicaragua,1
Brazil,United Kingdom,7
Brazil,Greece,1
Bulgaria,Turkey,20
Cambodia,Japan,2
Cambodia,Vietnam,434
Cambodia,India,2
Cambodia,France,15
Cambodia,China,41
Cambodia,United States,2
Cambodia,Malaysia,1
Cambodia,Australia,2
Cambodia,Philippines,3
Cambodia,Thailand,598
Cambodia,Nepal,1
Cambodia,Indonesia,1
Cambodia,Korea. Rep.,1
Cambodia,Germany,1
Cambodia,Sri Lanka,1
Cambodia,United Kingdom,1
Cameroon,France,97
Cameroon,Nigeria,962
Canada,Lithuania,25
Canada,Argentina,13
Canada,Bolivia,7
Canada,Cameroon,2
Canada,Saudi Arabia,19
Canada,Japan,89
Canada,Hong Kong SAR. China,132
Canada,Guatemala,100
Canada,Bosnia and Herzegovina,44
Canada,Russian Federation,37
Canada,Jordan,53
Canada,Pakistan,542
Canada,Oman,3
Canada,Vietnam,843
Canada,Cambodia,18
Canada,New Zealand,16
Canada,Jamaica,305
Canada,Albania,9
Canada,Slovak Republic,44
Canada,India,3463
Canada,Azerbaijan,4
Canada,Kenya,87
Canada,Tajikistan,5
Canada,Turkey,6
Canada,Bangladesh,164
Canada,France,1039
Canada,Syrian Arab Republic,57
Canada,Peru,69
Canada,Nigeria,454
Canada,Norway,25
Canada,Macao SAR. China,9
Canada,Egypt. Arab Rep.,297
Canada,China,3910
Canada,Armenia,5
Canada,Dominican Republic,25
Canada,Ukraine,79
Canada,Sweden,18
Canada,Bulgaria,23
Canada,United States,544
Canada,Romania,131
Canada,South Africa,64
Canada,Venezuela. RB,3
Canada,Malaysia,21
Canada,Austria,117
Canada,Iran. Islamic Rep.,111
